Date,SPI3
Jun-18,0.6724644244
Jul-18,0.5207867826
Aug-18,0.3008918385
Sep-18,-0.3172440623
Oct-18,-0.6310231611
Nov-18,-0.884747936
Dec-18,-0.8471896955
Jan-19,-0.5184315749
Feb-19,-0.6565907848
Mar-19,-0.1976348031
Apr-19,0.06270699889
May-19,0.5008462584
Jun-19,-0.3079647967
Jul-19,-0.7360100337
Aug-19,0.1399877602
Sep-19,0.5140834915
Oct-19,1.072317791
Nov-19,1.336726418
Dec-19,1.899431446
Jan-20,2.488369292
Feb-20,0.5558457999
Mar-20,0.8850817347
Apr-20,0.6623348575
May-20,0.8959757247
Jun-20,-0.3975593572
Jul-20,-0.7748372091
Aug-20,-0.05671824107
Sep-20,0.2073345814
Oct-20,0.6101086362
Nov-20,0.3024161068
Dec-20,0.1530638587
